ID,Warehouse Block,Shipment Mode,Customer Care Calls,Customer Rating,Product Cost,Previous Orders,Product Priority,Gender,Discount Offered,Shipment Weight (g),Delivery Status,
7619,C,Ship,4,2,175,6,low,female,5.0%,5445,On Time,
7620,F,Ship,4,4,170,4,low,male,5.0%,4574,Delayed,
7621,D,Ship,2,3,206,4,medium,female,2.0%,5443,Delayed,
7622,F,Ship,3,4,145,4,high,male,4.0%,5801,Delayed,
7623,A,Ship,3,5,266,2,high,female,3.0%,5195,Delayed,
7624,B,Ship,5,5,183,3,medium,female,3.0%,4071,On Time,
7625,C,Ship,5,1,210,2,low,male,2.0%,4079,On Time,
7626,F,Ship,5,1,134,2,low,female,7.0%,5610,Delayed,
7627,D,Ship,3,3,223,3,low,male,10.0%,5243,On Time,
7628,F,Ship,5,5,223,3,low,male,5.0%,4373,On Time,
7629,A,Ship,4,4,255,3,high,female,3.0%,5616,Delayed,
7630,B,Ship,4,1,270,3,low,female,6.0%,5212,Delayed,
7631,C,Ship,4,2,260,2,low,male,7.0%,5684,Delayed,
7632,F,Ship,5,4,225,2,low,male,8.0%,4725,Delayed,
7633,D,Ship,4,1,237,4,low,female,4.0%,4697,On Time,
7634,F,Ship,4,5,111,4,medium,male,7.0%,5988,On Time,
7635,A,Ship,5,1,230,4,medium,male,4.0%,5363,Delayed,
7636,B,Ship,2,4,193,2,low,female,5.0%,5706,Delayed,
7637,C,Ship,3,4,162,4,medium,male,10.0%,4235,Delayed,
7638,F,Ship,3,4,195,4,low,male,3.0%,4743,Delayed,
7639,D,Ship,5,2,123,5,low,female,4.0%,5284,Delayed,
7640,F,Ship,4,3,248,2,medium,female,10.0%,5211,Delayed,
7641,A,Ship,4,1,151,3,low,female,4.0%,5610,On Time,
7642,B,Ship,4,3,252,4,low,male,2.0%,5226,Delayed,
7643,C,Ship,5,2,134,4,low,male,5.0%,5090,Delayed,
7644,F,Ship,3,2,189,2,medium,female,4.0%,4160,Delayed,
7645,D,Ship,3,4,159,2,medium,female,6.0%,4990,On Time,
7646,F,Road,4,2,173,3,medium,male,6.0%,4963,Delayed,
7647,A,Road,5,5,254,2,medium,male,6.0%,4934,Delayed,
7648,B,Road,5,3,241,2,medium,male,5.0%,5666,Delayed,
7649,C,Road,4,4,262,2,medium,male,1.0%,4357,Delayed,
7650,F,Road,5,1,265,4,low,female,2.0%,5416,On Time,
7651,D,Road,6,4,201,4,low,female,8.0%,5355,On Time,
7652,F,Road,5,2,233,4,medium,female,9.0%,5539,Delayed,
7653,A,Road,3,1,164,10,medium,female,6.0%,5603,Delayed,
7654,B,Road,4,5,180,2,medium,male,1.0%,5622,Delayed,
7655,C,Road,3,4,199,3,medium,male,1.0%,4490,On Time,
7656,F,Road,4,3,140,8,medium,male,8.0%,4065,On Time,
7657,D,Road,4,5,140,2,medium,female,5.0%,4347,On Time,
7658,F,Road,5,2,146,7,low,female,9.0%,5631,Delayed,
7659,A,Road,5,3,216,10,medium,male,4.0%,4409,On Time,
7660,B,Road,3,5,159,2,high,female,9.0%,4099,On Time,
7661,C,Road,4,4,222,3,medium,male,4.0%,5857,Delayed,
7662,F,Road,4,3,240,8,medium,male,8.0%,4319,On Time,
7663,D,Road,3,3,189,3,high,male,9.0%,4278,On Time,
7664,F,Road,3,1,252,2,low,male,9.0%,5050,Delayed,
7665,A,Road,2,2,149,4,medium,male,7.0%,4598,Delayed,
7666,B,Road,5,4,199,5,medium,female,6.0%,4417,On Time,
7667,C,Road,4,5,244,3,low,female,7.0%,4172,Delayed,
7668,F,Flight,7,2,272,4,medium,female,8.0%,1816,Delayed,
7669,D,Flight,5,3,269,5,low,female,3.0%,1667,On Time,
7670,F,Flight,4,1,263,5,low,female,8.0%,1257,Delayed,
7671,A,Flight,6,4,284,4,low,female,9.0%,1436,Delayed,
7672,B,Flight,5,5,232,5,medium,female,6.0%,1246,Delayed,
7673,C,Flight,6,5,219,5,low,female,2.0%,1475,On Time,
7674,F,Flight,4,5,206,4,medium,female,1.0%,1593,Delayed,
7675,D,Flight,5,4,242,5,medium,female,2.0%,1717,On Time,
7676,F,Flight,5,1,250,4,medium,male,4.0%,1438,Delayed,
7677,A,Flight,7,4,267,4,medium,female,9.0%,1378,On Time,
7678,B,Flight,6,3,269,4,medium,female,3.0%,1022,Delayed,
7679,C,Flight,3,2,189,2,medium,female,3.0%,4617,Delayed,
7680,F,Flight,3,1,159,2,medium,female,3.0%,5691,Delayed,
7681,D,Flight,4,3,173,3,medium,female,2.0%,4351,Delayed,
7682,F,Flight,5,3,254,2,medium,female,5.0%,4764,On Time,
7683,A,Flight,5,2,241,2,medium,male,9.0%,4965,Delayed,
7684,B,Flight,4,3,262,2,medium,female,3.0%,4064,On Time,
7685,C,Flight,5,2,265,4,low,female,7.0%,4883,Delayed,
7686,F,Flight,6,1,201,4,low,female,5.0%,4592,On Time,
7687,D,Flight,5,4,233,4,medium,male,1.0%,4255,On Time,
7688,F,Flight,3,4,164,10,medium,female,10.0%,4134,Delayed,
7689,A,Flight,4,2,180,2,medium,female,10.0%,5666,On Time,
7690,B,Ship,3,2,199,3,medium,female,8.0%,4164,On Time,
7691,C,Ship,4,4,140,8,medium,female,2.0%,5481,Delayed,
7692,F,Ship,4,3,140,2,medium,female,2.0%,5042,Delayed,
7693,D,Ship,5,2,146,7,low,male,7.0%,5204,Delayed,
7694,F,Ship,5,1,216,10,medium,female,2.0%,5672,Delayed,
7695,A,Ship,3,5,159,2,high,female,6.0%,4295,Delayed,
7696,B,Ship,4,4,222,3,medium,female,6.0%,4199,On Time,
7697,C,Ship,4,1,240,8,medium,male,1.0%,4638,Delayed,
7698,F,Ship,3,2,189,3,high,male,1.0%,4997,On Time,
7699,D,Ship,3,4,252,2,low,male,6.0%,4630,On Time,
7700,F,Ship,2,1,149,4,medium,female,7.0%,5434,Delayed,
7701,A,Ship,5,4,199,5,medium,male,6.0%,5210,On Time,
7702,B,Ship,4,3,244,3,low,male,7.0%,4761,Delayed,
7703,C,Ship,7,3,272,4,medium,male,2.0%,1754,Delayed,
7704,F,Ship,5,5,269,5,low,female,6.0%,1630,Delayed,
7705,D,Ship,4,1,263,5,low,male,1.0%,1605,On Time,
7706,F,Ship,6,4,284,4,low,female,9.0%,1845,On Time,
7707,A,Ship,5,3,232,5,medium,female,2.0%,1057,On Time,
7708,B,Ship,6,3,219,5,low,male,9.0%,1483,On Time,
7709,C,Ship,4,4,206,4,medium,female,9.0%,1074,On Time,
7710,F,Ship,5,3,242,5,medium,female,5.0%,1820,Delayed,
7711,D,Ship,5,3,250,4,medium,female,4.0%,1111,On Time,
7712,F,Ship,7,5,267,4,medium,female,10.0%,1067,Delayed,
7713,A,Ship,6,2,269,4,medium,female,3.0%,1665,Delayed,
7714,B,Ship,5,2,240,5,medium,male,3.0%,1079,Delayed,
7715,C,Ship,5,2,228,5,low,male,6.0%,1726,On Time,
7716,F,Ship,5,5,262,5,low,male,6.0%,1887,On Time,
7717,D,Ship,6,2,306,4,low,female,1.0%,1815,On Time,
7718,F,Ship,6,5,276,4,low,male,3.0%,1136,Delayed,
7719,A,Ship,3,3,183,5,low,female,3.0%,1504,Delayed,
7720,B,Ship,5,1,239,5,low,male,1.0%,1239,Delayed,
7721,C,Ship,7,1,285,4,low,male,2.0%,1516,Delayed,
7722,F,Ship,5,1,229,6,low,male,9.0%,1883,On Time,
7723,D,Ship,7,4,308,5,medium,female,7.0%,1563,On Time,
7724,F,Ship,6,1,293,4,low,female,10.0%,1534,On Time,
7725,A,Ship,6,1,247,4,low,female,4.0%,1623,On Time,
7726,B,Ship,6,2,260,5,low,female,9.0%,1667,On Time,
7727,C,Ship,7,3,308,4,medium,male,6.0%,1113,Delayed,
7728,F,Ship,5,2,274,6,medium,male,2.0%,1748,On Time,
7729,D,Ship,5,2,236,6,low,female,6.0%,1552,Delayed,
7730,F,Ship,7,4,291,4,medium,male,1.0%,1817,On Time,
7731,A,Ship,4,5,247,5,low,male,9.0%,1499,Delayed,
7732,B,Ship,5,4,217,5,high,female,3.0%,1007,On Time,
7733,C,Ship,6,2,246,4,low,male,4.0%,1555,Delayed,
7734,F,Ship,6,3,301,4,low,female,2.0%,1083,Delayed,
7735,D,Ship,5,4,259,5,low,female,4.0%,1991,On Time,
7736,F,Ship,4,2,275,5,low,female,6.0%,1438,Delayed,
7737,A,Ship,6,2,309,4,medium,female,8.0%,1289,On Time,
7738,B,Ship,5,2,232,6,medium,female,3.0%,1540,Delayed,
7739,C,Ship,6,1,244,4,low,female,7.0%,1007,Delayed,
7740,F,Ship,4,4,267,5,medium,female,9.0%,1716,On Time,
7741,D,Ship,6,1,254,4,low,female,2.0%,1071,Delayed,
7742,F,Ship,5,2,270,4,medium,male,8.0%,1631,On Time,
7743,A,Ship,6,2,301,4,medium,male,10.0%,1747,On Time,
7744,B,Ship,4,5,221,5,low,female,5.0%,1608,On Time,
7745,C,Ship,5,3,243,5,low,female,9.0%,1312,On Time,
7746,F,Ship,6,4,264,4,low,male,1.0%,1711,On Time,
7747,D,Ship,4,3,228,5,low,female,9.0%,1044,Delayed,
7748,F,Ship,5,1,262,5,low,female,5.0%,1916,On Time,
7749,A,Ship,4,2,270,5,medium,male,9.0%,1167,Delayed,
7750,B,Ship,3,1,131,4,low,male,1.0%,1628,Delayed,
7751,C,Ship,7,1,257,4,low,male,1.0%,1405,On Time,
7752,F,Ship,4,1,245,5,medium,male,1.0%,1472,Delayed,
7753,D,Ship,5,5,272,5,medium,female,5.0%,1868,On Time,
7754,F,Ship,6,1,284,4,low,female,7.0%,1153,Delayed,
7755,A,Ship,7,5,285,4,low,male,6.0%,1591,On Time,
7756,B,Ship,6,3,250,4,low,male,9.0%,1618,Delayed,
7757,C,Ship,7,3,272,4,medium,male,7.0%,1067,On Time,
7758,F,Ship,4,3,254,5,low,female,3.0%,1248,Delayed,
7759,D,Ship,5,4,217,5,low,female,5.0%,1360,On Time,
7760,F,Ship,7,5,253,4,low,male,10.0%,1166,On Time,
7761,A,Ship,5,1,276,5,low,female,6.0%,1793,Delayed,
7762,B,Ship,4,1,241,5,low,female,4.0%,1145,Delayed,
7763,C,Ship,6,2,259,5,medium,male,1.0%,1357,Delayed,
7764,F,Ship,6,4,272,4,medium,female,10.0%,1171,On Time,
7765,D,Ship,6,1,280,4,medium,male,6.0%,1735,On Time,
7766,F,Ship,5,3,257,5,low,male,7.0%,1090,Delayed,
7767,A,Ship,6,3,282,4,low,male,9.0%,1417,On Time,
7768,B,Ship,6,4,268,4,medium,male,9.0%,1354,On Time,
7769,C,Ship,5,3,238,5,high,male,10.0%,1841,On Time,
7770,F,Ship,7,4,310,4,low,male,6.0%,1003,On Time,
7771,D,Ship,4,1,187,2,low,male,5.0%,5691,Delayed,
7772,F,Ship,3,3,167,4,medium,male,1.0%,5301,Delayed,
7773,A,Ship,4,3,197,4,medium,male,9.0%,4429,Delayed,
7774,B,Ship,6,1,214,2,low,male,5.0%,4708,Delayed,
7775,C,Ship,4,2,174,2,low,female,8.0%,4295,Delayed,
7776,F,Ship,4,5,239,3,medium,male,1.0%,5482,On Time,
7777,D,Ship,5,1,249,3,low,female,8.0%,5940,Delayed,
7778,F,Ship,5,3,141,3,low,male,2.0%,4124,On Time,
7779,A,Ship,5,2,179,3,medium,male,5.0%,4325,On Time,
7780,B,Ship,3,1,253,3,high,male,8.0%,5030,On Time,
7781,C,Ship,2,3,219,4,low,female,9.0%,4086,Delayed,
7782,F,Ship,4,1,249,6,medium,male,2.0%,5720,On Time,
7783,D,Road,3,3,196,3,low,male,9.0%,4431,Delayed,
7784,F,Road,6,5,244,3,low,male,9.0%,5634,Delayed,
7785,A,Road,4,2,144,3,low,male,2.0%,4264,Delayed,
7786,B,Road,4,3,240,3,medium,male,6.0%,4964,Delayed,
7787,C,Road,5,4,222,3,low,male,1.0%,4834,On Time,
7788,F,Road,4,4,246,3,medium,male,5.0%,5029,On Time,
7789,D,Road,6,1,188,5,low,male,4.0%,4887,Delayed,
7790,F,Road,3,3,153,3,low,female,3.0%,4829,Delayed,
7791,A,Road,3,1,151,2,low,female,7.0%,4437,Delayed,
7792,B,Road,4,1,237,3,medium,female,8.0%,5668,On Time,
7793,C,Road,3,1,194,3,medium,female,4.0%,5383,On Time,
7794,F,Road,3,5,241,3,low,female,5.0%,4861,On Time,
7795,D,Road,4,2,209,2,medium,male,3.0%,5607,Delayed,
7796,F,Road,3,1,160,2,low,female,10.0%,5642,On Time,
7797,A,Road,4,4,251,2,low,male,2.0%,4800,Delayed,
7798,B,Road,5,3,193,4,medium,female,3.0%,5026,Delayed,
7799,C,Road,4,4,169,3,medium,male,5.0%,5743,Delayed,
7800,F,Road,3,5,234,2,medium,female,1.0%,4455,On Time,
7801,D,Road,4,5,192,2,high,female,4.0%,4518,Delayed,
7802,F,Road,2,5,160,4,low,female,7.0%,5754,Delayed,
7803,A,Road,5,3,201,2,low,female,1.0%,4548,On Time,
7804,B,Road,4,1,260,3,low,male,9.0%,4239,Delayed,
7805,C,Flight,3,3,244,4,medium,male,10.0%,5181,Delayed,
7806,F,Flight,3,2,219,6,low,female,9.0%,5263,On Time,
7807,D,Flight,4,2,219,4,high,female,2.0%,4422,On Time,
7808,F,Flight,3,5,175,3,high,female,6.0%,5150,Delayed,
7809,A,Flight,4,2,196,3,medium,female,2.0%,4474,Delayed,
7810,B,Flight,3,5,230,3,high,male,4.0%,5189,On Time,
7811,C,Flight,4,3,262,4,high,female,2.0%,4783,On Time,
7812,F,Flight,5,4,228,4,high,female,7.0%,5913,Delayed,
7813,D,Flight,3,2,138,2,medium,male,8.0%,5714,Delayed,
7814,F,Flight,4,1,240,3,low,female,4.0%,4787,Delayed,
7815,A,Flight,3,1,104,4,low,female,9.0%,5211,On Time,
7816,B,Flight,3,2,261,2,medium,male,10.0%,4035,Delayed,
7817,C,Flight,4,3,181,3,low,male,4.0%,4399,On Time,
7818,F,Flight,5,2,152,3,medium,male,4.0%,4699,On Time,
7819,D,Flight,2,2,215,5,medium,male,3.0%,5185,On Time,
7820,F,Flight,5,4,266,6,medium,female,7.0%,4486,Delayed,
7821,A,Flight,4,5,265,2,medium,female,9.0%,5135,On Time,
7822,B,Flight,5,5,142,4,medium,male,8.0%,5372,Delayed,
7823,C,Flight,5,3,169,2,low,female,1.0%,4500,On Time,
7824,F,Flight,3,5,257,3,medium,male,4.0%,5196,On Time,
7825,D,Flight,3,2,142,3,low,male,9.0%,4234,Delayed,
7826,F,Flight,2,4,233,4,medium,female,4.0%,5408,Delayed,
7827,A,Ship,4,2,136,4,medium,male,9.0%,5038,Delayed,
7828,B,Ship,2,2,173,3,low,female,10.0%,4736,Delayed,
7829,C,Ship,3,4,221,3,low,male,10.0%,4927,On Time,
7830,F,Ship,5,3,204,3,low,male,10.0%,5610,On Time,
7831,D,Ship,4,5,149,2,low,male,2.0%,5724,On Time,
7832,F,Ship,2,1,166,3,medium,female,7.0%,5990,On Time,
7833,A,Ship,5,4,265,2,low,female,2.0%,5164,On Time,
7834,B,Ship,3,1,140,2,low,female,8.0%,5253,On Time,
7835,C,Ship,4,3,234,3,medium,female,9.0%,4868,On Time,
7836,F,Ship,3,5,139,2,low,female,6.0%,5181,Delayed,
7837,D,Ship,3,4,232,2,low,female,8.0%,5629,On Time,
7838,F,Ship,3,5,187,4,medium,female,4.0%,5640,Delayed,
7839,A,Ship,3,4,197,6,medium,male,3.0%,4890,On Time,
7840,B,Ship,3,4,273,2,medium,female,5.0%,5223,Delayed,
7841,C,Ship,3,2,201,3,medium,male,7.0%,4890,Delayed,
7842,F,Ship,2,2,201,3,high,male,2.0%,4865,On Time,
7843,D,Ship,4,3,227,3,medium,male,10.0%,5782,On Time,
7844,F,Ship,3,5,171,2,medium,male,1.0%,4783,On Time,
7845,A,Ship,3,5,192,2,low,female,7.0%,5069,On Time,
7846,B,Ship,3,1,226,3,high,male,2.0%,4831,On Time,
7847,C,Ship,3,4,252,2,medium,female,6.0%,4040,On Time,
7848,F,Ship,4,5,177,3,medium,female,7.0%,4243,On Time,
7849,D,Ship,3,5,211,3,medium,male,5.0%,4058,On Time,
7850,F,Ship,6,3,170,4,low,male,1.0%,4912,Delayed,
7851,A,Ship,2,3,118,4,medium,male,7.0%,5510,Delayed,
7852,B,Ship,4,4,146,3,low,male,3.0%,5225,On Time,
7853,C,Ship,3,5,150,3,high,male,6.0%,4565,Delayed,
7854,F,Ship,5,5,243,3,medium,male,3.0%,5700,On Time,
7855,D,Ship,4,4,135,3,medium,male,6.0%,4335,On Time,
7856,F,Ship,4,5,209,3,low,female,6.0%,5899,On Time,
7857,A,Ship,4,5,217,3,medium,male,2.0%,5461,On Time,
7858,B,Ship,2,2,287,4,medium,male,10.0%,5972,Delayed,
7859,C,Ship,2,3,239,6,medium,male,4.0%,4022,Delayed,
7860,F,Ship,5,2,189,2,medium,male,2.0%,4636,On Time,
7861,D,Ship,4,2,139,3,medium,male,10.0%,4648,Delayed,
7862,F,Ship,4,2,255,3,low,female,8.0%,5865,Delayed,
7863,A,Ship,5,1,132,4,medium,female,4.0%,5461,Delayed,
7864,B,Ship,4,1,136,3,medium,female,4.0%,5060,On Time,
7865,C,Ship,5,3,143,3,low,male,6.0%,4761,On Time,
7866,F,Ship,3,4,201,2,low,female,8.0%,4394,Delayed,
7867,D,Ship,6,5,278,5,medium,female,2.0%,4361,On Time,
7868,F,Ship,4,3,213,3,medium,male,4.0%,4367,Delayed,
7869,A,Ship,2,1,202,2,medium,female,5.0%,4456,Delayed,
7870,B,Ship,4,5,240,2,medium,male,6.0%,5045,On Time,
7871,C,Ship,5,4,223,3,low,male,7.0%,4671,On Time,
7872,F,Ship,4,4,193,3,low,male,2.0%,5975,On Time,
7873,D,Ship,3,1,224,3,low,male,8.0%,4908,Delayed,
7874,F,Ship,3,1,202,3,medium,female,7.0%,5818,Delayed,
7875,A,Ship,4,5,236,4,medium,male,1.0%,4082,Delayed,
7876,B,Ship,3,3,216,4,low,female,9.0%,5107,On Time,
7877,C,Ship,3,1,229,3,medium,male,7.0%,5324,On Time,
7878,F,Ship,4,5,275,3,medium,male,1.0%,5394,On Time,
7879,D,Ship,3,3,250,2,medium,female,8.0%,5067,Delayed,
7880,F,Ship,4,3,196,3,low,male,10.0%,4433,On Time,
7881,A,Ship,2,2,220,3,low,male,1.0%,5289,Delayed,
7882,B,Ship,4,4,152,3,low,male,8.0%,4430,Delayed,
7883,C,Ship,3,2,186,2,low,male,7.0%,5522,Delayed,
7884,F,Ship,3,1,189,3,low,female,3.0%,5866,On Time,
7885,D,Ship,3,1,222,3,low,male,1.0%,5362,On Time,
7886,F,Ship,4,1,139,3,low,female,7.0%,5317,Delayed,
7887,A,Ship,5,1,169,4,low,male,6.0%,4253,On Time,
7888,B,Ship,4,3,137,3,medium,male,9.0%,5016,Delayed,
7889,C,Ship,3,1,212,6,low,male,5.0%,5339,Delayed,
7890,F,Ship,3,5,230,4,low,female,5.0%,4450,On Time,
7891,D,Ship,3,2,262,2,low,male,7.0%,5141,On Time,
7892,F,Ship,4,4,166,2,low,male,8.0%,5192,Delayed,
7893,A,Ship,6,2,99,3,low,male,8.0%,5872,Delayed,
7894,B,Ship,4,2,263,3,low,female,7.0%,5395,On Time,
7895,C,Ship,5,4,223,3,low,male,8.0%,4310,On Time,
7896,F,Ship,3,1,220,2,low,female,7.0%,5653,Delayed,
7897,D,Ship,3,3,242,3,medium,female,8.0%,5915,On Time,
7898,F,Ship,3,4,163,3,high,female,6.0%,5912,Delayed,
7899,A,Ship,3,4,273,2,medium,male,2.0%,4219,On Time,
7900,B,Ship,5,5,261,5,medium,male,9.0%,5385,Delayed,
7901,C,Ship,5,1,179,2,low,male,8.0%,5198,On Time,
7902,F,Ship,5,2,182,3,low,female,10.0%,4128,On Time,
7903,D,Ship,3,4,202,2,medium,female,6.0%,5030,Delayed,
7904,F,Ship,5,2,154,4,low,female,8.0%,4820,Delayed,
7905,A,Ship,4,4,224,2,low,female,8.0%,5754,On Time,
7906,B,Ship,3,2,139,3,medium,male,4.0%,5531,Delayed,
7907,C,Ship,3,5,256,2,medium,female,6.0%,5375,Delayed,
7908,F,Ship,3,2,251,4,high,female,7.0%,4038,Delayed,
7909,D,Ship,4,5,254,3,medium,female,10.0%,4148,Delayed,
7910,F,Ship,5,1,181,3,low,female,6.0%,5423,Delayed,
7911,A,Ship,4,4,254,3,low,male,7.0%,5637,Delayed,
7912,B,Ship,3,3,239,3,medium,male,7.0%,4942,Delayed,
7913,C,Ship,3,3,167,2,low,male,6.0%,5101,Delayed,
7914,F,Ship,4,2,192,2,low,male,9.0%,4140,Delayed,
7915,D,Ship,3,2,163,2,low,female,5.0%,5021,Delayed,
7916,F,Ship,3,1,213,2,low,male,6.0%,4747,Delayed,
7917,A,Ship,3,3,230,3,low,male,4.0%,4018,On Time,
7918,B,Ship,3,3,264,3,low,male,3.0%,4970,Delayed,
7919,C,Ship,5,1,182,2,low,male,6.0%,4121,On Time,
7920,F,Road,5,1,223,3,medium,female,4.0%,4905,On Time,
7921,D,Road,4,1,261,2,medium,female,9.0%,4158,Delayed,
7922,F,Road,4,2,248,2,low,female,10.0%,5783,Delayed,
7923,A,Road,4,5,169,4,low,male,5.0%,5347,Delayed,
7924,B,Road,3,4,188,6,medium,female,6.0%,4031,On Time,
7925,C,Road,3,4,142,4,medium,male,5.0%,4429,Delayed,
7926,F,Road,4,1,208,2,low,female,5.0%,5707,On Time,
7927,D,Road,4,5,239,2,medium,female,1.0%,4247,Delayed,
7928,F,Road,5,5,218,5,low,male,5.0%,4303,On Time,
7929,A,Road,4,1,137,3,medium,female,3.0%,4962,On Time,
7930,B,Road,4,4,97,6,low,male,4.0%,5801,Delayed,
7931,C,Road,3,1,242,10,high,male,9.0%,5151,On Time,
7932,F,Road,4,3,153,7,medium,female,4.0%,4499,On Time,
7933,D,Road,3,3,188,5,low,female,6.0%,5713,Delayed,
7934,F,Road,4,1,272,2,low,female,8.0%,5328,On Time,
7935,A,Road,2,2,165,3,medium,female,10.0%,4080,On Time,
7936,B,Road,4,4,218,2,medium,female,3.0%,5692,On Time,
7937,C,Road,4,3,153,4,low,male,4.0%,5161,Delayed,
7938,F,Road,6,1,250,2,medium,male,4.0%,4016,Delayed,
7939,D,Road,4,1,204,8,low,female,7.0%,5359,Delayed,
7940,F,Road,4,1,154,10,high,male,10.0%,5674,On Time,
7941,A,Road,4,2,233,7,medium,female,5.0%,5361,Delayed,
7942,B,Flight,4,3,225,8,low,male,8.0%,4718,On Time,
7943,C,Flight,4,4,269,10,high,female,3.0%,4488,Delayed,
7944,F,Flight,4,5,173,4,low,male,7.0%,4978,On Time,
7945,D,Flight,4,1,145,3,low,male,8.0%,5127,Delayed,
7946,F,Flight,4,4,242,2,medium,male,6.0%,5866,Delayed,
7947,A,Flight,3,5,255,7,medium,male,8.0%,4091,On Time,
7948,B,Flight,4,1,254,7,low,male,5.0%,4104,On Time,
7949,C,Flight,4,3,150,3,high,female,2.0%,4383,Delayed,
7950,F,Flight,4,2,201,8,medium,female,6.0%,5128,Delayed,
7951,D,Flight,5,2,262,5,low,male,5.0%,1751,Delayed,
7952,F,Flight,6,4,306,4,low,female,8.0%,1465,Delayed,
7953,A,Flight,6,5,276,4,low,male,9.0%,1319,Delayed,
7954,B,Flight,3,2,183,5,low,male,3.0%,1336,On Time,
7955,C,Flight,5,1,239,5,low,female,7.0%,1859,On Time,
7956,F,Flight,7,3,285,4,low,male,10.0%,1935,On Time,
7957,D,Flight,5,5,229,6,low,female,6.0%,1857,Delayed,
7958,F,Flight,7,5,308,5,medium,male,6.0%,1154,Delayed,
7959,A,Flight,6,2,293,4,low,female,7.0%,1477,Delayed,
7960,B,Flight,6,4,247,4,low,male,7.0%,1831,Delayed,
7961,C,Flight,6,1,260,5,low,female,3.0%,1434,Delayed,
7962,F,Flight,7,1,308,4,medium,male,5.0%,1705,Delayed,
7963,D,Flight,5,3,274,6,medium,male,7.0%,1293,Delayed,
7964,F,Ship,5,1,236,6,low,male,4.0%,1123,On Time,
7965,A,Ship,7,1,291,4,medium,female,1.0%,1796,Delayed,
7966,B,Ship,5,4,223,3,medium,male,7.0%,5738,Delayed,
7967,C,Ship,4,4,261,2,medium,male,8.0%,5006,On Time,
7968,F,Ship,4,1,248,2,low,female,6.0%,5621,Delayed,
7969,D,Ship,4,5,169,4,low,female,6.0%,4213,Delayed,
7970,F,Ship,3,2,188,6,medium,female,1.0%,4856,Delayed,
7971,A,Ship,3,1,142,4,medium,male,7.0%,4780,Delayed,
7972,B,Ship,4,1,208,2,low,male,6.0%,5266,Delayed,
7973,C,Ship,4,3,239,2,medium,female,7.0%,5384,Delayed,
7974,F,Ship,5,3,218,5,low,female,9.0%,4435,On Time,
7975,D,Ship,4,5,137,3,medium,male,1.0%,4861,Delayed,
7976,F,Ship,4,3,97,6,low,female,4.0%,4375,Delayed,
7977,A,Ship,3,4,242,10,high,male,5.0%,4127,Delayed,
7978,B,Ship,4,1,153,7,medium,female,4.0%,5761,On Time,
7979,C,Ship,3,4,188,5,low,female,3.0%,4835,On Time,
7980,F,Ship,4,4,272,2,low,male,7.0%,4042,On Time,
7981,D,Ship,2,4,165,3,medium,male,7.0%,5856,Delayed,
7982,F,Ship,4,4,218,2,medium,male,3.0%,5039,Delayed,
7983,A,Ship,4,4,153,4,low,male,5.0%,5162,Delayed,
7984,B,Ship,6,3,250,2,medium,female,1.0%,4747,Delayed,
7985,C,Ship,4,2,204,8,low,female,1.0%,4038,On Time,
7986,F,Ship,4,3,154,10,high,male,7.0%,5317,Delayed,
7987,D,Ship,4,1,233,7,medium,male,7.0%,4272,On Time,
7988,F,Ship,4,2,225,8,low,female,8.0%,5623,Delayed,
7989,A,Ship,4,2,269,10,high,male,2.0%,5616,On Time,
7990,B,Ship,4,1,173,4,low,female,1.0%,5789,Delayed,
7991,C,Ship,4,3,145,3,low,female,5.0%,5802,On Time,
7992,F,Ship,4,5,242,2,medium,female,2.0%,4806,On Time,
7993,D,Ship,3,2,255,7,medium,male,2.0%,5282,Delayed,
7994,F,Ship,4,2,254,7,low,female,6.0%,5121,Delayed,
7995,A,Ship,4,5,150,3,high,female,10.0%,5767,On Time,
7996,B,Ship,4,1,201,8,medium,male,4.0%,4295,Delayed,
7997,C,Ship,5,3,262,5,low,female,8.0%,1493,On Time,
7998,F,Ship,6,1,306,4,low,female,4.0%,1449,On Time,
7999,D,Ship,6,4,276,4,low,female,2.0%,1120,On Time,
8000,F,Ship,3,2,183,5,low,female,2.0%,1158,On Time,
8001,A,Ship,5,2,239,5,low,male,1.0%,1518,On Time,
8002,B,Ship,7,2,285,4,low,male,2.0%,1491,On Time,
8003,C,Ship,5,4,229,6,low,female,9.0%,1733,Delayed,
8004,F,Ship,7,3,308,5,medium,male,10.0%,1152,On Time,
8005,D,Ship,6,4,293,4,low,female,8.0%,1145,On Time,
8006,F,Ship,6,3,247,4,low,female,6.0%,1537,Delayed,
8007,A,Ship,6,3,260,5,low,male,8.0%,1324,On Time,
8008,B,Ship,7,1,308,4,medium,male,7.0%,1841,On Time,
8009,C,Ship,6,2,282,4,low,male,1.0%,1857,On Time,
8010,F,Ship,6,4,268,4,medium,female,3.0%,1586,Delayed,
8011,D,Ship,5,3,238,5,high,male,7.0%,1848,Delayed,
8012,F,Ship,5,3,254,6,low,male,7.0%,1064,Delayed,
8013,A,Ship,5,3,252,5,low,male,3.0%,1474,Delayed,
8014,B,Ship,6,4,254,4,low,male,9.0%,1594,Delayed,
8015,C,Ship,4,1,263,5,low,male,8.0%,1426,On Time,
8016,F,Ship,5,4,256,5,low,male,6.0%,1551,Delayed,
8017,D,Ship,6,5,264,4,medium,male,8.0%,1755,Delayed,
